N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,Unnamed: 25,Unnamed: 26,avg
586,Junior Software Engineer,C#/.NET,,2.0,1.5,1091,150,Дніпро,до 1000 осіб,Аутсорсингова,чоловіча,27,Вища,ДНУ ім. Гончара,False,Intermediate (середній),"Desktop Applications,Системне програмування",12/06/2017 14:42:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,1091,,DEV,,,1091
587,Junior Software Engineer,C#/.NET,,1.5,1.5,700,150,Київ,до 10 осіб,Продуктова,чоловіча,22,Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),Системне програмування,12/06/2017 14:43:03,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,700,,DEV,,,700
588,Sysadmin,,,5.0,,1000,200,Київ,до 50 осіб,Продуктова,чоловіча,28,Середня,,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 14:43:38,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,0.0,1000,,,,,1000
589,Software Engineer,JavaScript,,2.0,0.5,1400,200,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,24,Неповна Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Фінанси та банкінг",12/06/2017 14:43:55,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,0.5,1400,,DEV,,,1400
590,Senior Software Engineer,Java,,8.0,1.0,3300,0,Харків,до 1000 осіб,Аутсорсингова,чоловіча,27,Вища,ХНУРЕ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 14:43:56,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,8.0,1.0,3300,,DEV,,,3300
591,Software Engineer,Java,,5.0,3.0,2500,0,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,42,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,12/06/2017 14:44:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2500,,DEV,,,2500
592,Junior Software Engineer,JavaScript,,2.0,2.0,900,0,Одеса,до 200 осіб,Аутстафінгова,чоловіча,23,Вища,ОНПУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",12/06/2017 14:44:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,2.0,900,,DEV,,,900
593,Sysadmin,,,1.0,,800,200,Дніпро,більше 1000 осіб,Інша,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),,12/06/2017 14:44:15,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,0.0,800,,,,,800
594,Junior Software Engineer,C++,,0.25,0.25,1000,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,24,Неповна Вища,НАУ,False,Advanced (просунутий),Desktop Applications,12/06/2017 14:45:03,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad4,4;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/ru_RU;FBOP/5;FBRV/0]",0.25,0.25,1000,,DEV,,,1000
595,Director of Engineering / Program Director,,,9.0,6.0,34000,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,27,Вища,НТУУ «КПІ»,False,Advanced (просунутий),"iOS,Веб-розробка",12/06/2017 14:45:22,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",9.0,6.0,34000,,SPM,,,34000
596,Senior Software Engineer,JavaScript,,6.0,2.0,2200,200,Харків,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,НТУ «ХПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 14:45:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,2.0,2200,,DEV,,,2200
597,Junior Software Engineer,Java,,1.0,1.0,500,200,Дніпро,до 1000 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,ДНУ ім. Гончара,True,Intermediate (середній),Фінанси та банкінг,12/06/2017 14:45:44,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,500,,DEV,,,500
598,Marketing,,,5.0,1.0,900,100,Львів,до 50 осіб,Продуктова,жіноча,33,Вища,ЛНУ ім. Франко,False,Advanced (просунутий),"Веб-розробка,eCommerce",12/06/2017 14:45:52,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,900,,,,,900
599,HR,,,2.0,1.0,400,100,Харків,до 50 осіб,Продуктова,жіноча,26,Вища,НТУ «ХПІ»,False,Intermediate (середній),Інше,12/06/2017 14:46:11,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,400,,,,,400
600,Junior QA engineer,,General QA,1.0,,250,50,Харків,до 10 осіб,Стартап,чоловіча,24,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 14:46:12,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,250,,QA,,,250
601,QA engineer,,Manual QA,2.0,2.0,1140,427,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,34,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",12/06/2017 14:46:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1140,,QA,,,1140
602,Software Engineer,Java,,3.0,1.5,1600,500,Київ,до 50 осіб,Аутстафінгова,чоловіча,27,Вища,НАУ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 14:46:57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,1600,,DEV,,,1600
603,Junior Software Engineer,Other,,1.0,1.0,1400,400,Київ,до 200 осіб,Продуктова,чоловіча,26,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Gamedev,12/06/2017 14:46:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1400,,DEV,,,1400
604,Software Engineer,Objective-C,,3.0,2.0,3000,700,Київ,до 200 осіб,Аутсорсингова,чоловіча,23,Неповна Вища,НТУУ «КПІ»,False,Intermediate (середній),iOS,12/06/2017 14:47:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,3000,,DEV,,,3000
605,Software Engineer,Python,,7.0,0.25,3325,325,Київ,до 1000 осіб,Аутстафінгова,чоловіча,28,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,12/06/2017 14:47:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.25,3325,,DEV,,,3325
606,Project manager,,,1.0,1.0,2200,800,Дніпро,більше 1000 осіб,Стартап,чоловіча,32,Вища,ДНУ ім. Гончара,False,Intermediate (середній),eCommerce,12/06/2017 14:48:14,"Mozilla/5.0 (Linux; Android 7.0; SM-A510F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,2200,,PM,,,2200
607,Software Engineer,1С,,4.0,2.0,500,0,Київ,до 50 осіб,Інша,чоловіча,24,Вища,НАУ,False,Pre-intermediate (нище середнього),eCommerce,12/06/2017 14:48:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,500,,DEV,,,500
608,Software Engineer,Java,,2.0,,1500,950,Київ,до 200 осіб,Продуктова,жіноча,33,Дві вищих,НАУ,False,Intermediate (середній),Фінанси та банкінг,12/06/2017 14:48:30,"Mozilla/5.0 (Linux; Android 4.4.4; GT-I9300I Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",2.0,0.0,1500,,DEV,,,1500
609,Junior QA engineer,,Manual QA,1.0,0.25,300,0,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,24,Вища,НметАУ,False,Intermediate (середній),"Android, Веб-розробка",12/06/2017 14:48:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,300,,QA,,,300
610,Senior Project Manager / Program Manager,,,,8.0,2500,0,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,32,Вища,НГУ [Дніпро],False,Advanced (просунутий),,12/06/2017 14:48:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",10.0,8.0,2500,,SPM,,,2500
611,Senior QA engineer,,Automation QA,5.0,,2200,500,Львів,до 200 осіб,Продуктова,чоловіча,25,Вища,Львівська Політехніка,False,Intermediate (середній),"Desktop Applications,Веб-розробка",12/06/2017 14:48:46,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,0.0,2200,,QA,,,2200
612,Senior Software Engineer,Java,,6.0,1.5,3800,600,Львів,до 1000 осіб,Аутсорсингова,чоловіча,26,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,Телекомунікації",12/06/2017 14:48:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.5,3800,,DEV,,,3800
613,Junior Software Engineer,Java,,,,500,0,Одеса,до 50 осіб,Продуктова,чоловіча,31,Вища,Інший ВНЗ,False,Elementary (початковий),Корпоративні системи,12/06/2017 14:48:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,500,,DEV,,,500
614,Senior Software Engineer,Swift,,4.0,1.5,2500,0,Харків,до 200 осіб,Аутстафінгова,чоловіча,24,Вища,ХНУРЕ,False,Upper-Intermediate (вище середнього),"iOS,Телекомунікації",12/06/2017 14:49:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,2500,,DEV,,,2500
615,Project manager,,,2.0,1.0,570,270,Київ,до 50 осіб,Аутсорсингова,жіноча,27,Вища,КНУ ім. Шевченко,False,Intermediate (середній),Веб-розробка,12/06/2017 14:49:10,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,1.0,570,,PM,,,570
616,Junior Software Engineer,PHP,,,0.25,1000,1000,Тернопіль,до 50 осіб,Продуктова,чоловіча,19,Середня,,False,Elementary (початковий),"eCommerce,Корпоративні системи",12/06/2017 14:49:12,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,0.0,0.25,1000,,DEV,,,1000
617,Software Engineer,C#/.NET,,3.0,3.0,1900,500,Київ,до 1000 осіб,Аутсорсингова,чоловіча,25,Дві вищих,НТУУ «КПІ»,True,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 14:49:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1900,,DEV,,,1900
618,Senior Project Manager / Program Manager,,,,,5225,300,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,Львівська Політехніка,False,Advanced (просунутий),"Embedded,Інше",12/06/2017 14:49:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,10.0,5225,,SPM,,,5225
619,Software Engineer,C++,,9.0,3.0,2100,100,Київ,до 50 осіб,Аутсорсингова,чоловіча,34,Вища,КНУ ім. Шевченко,False,Intermediate (середній),"Android,Desktop Applications",12/06/2017 14:49:27,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,9.0,3.0,2100,,DEV,,,2100
620,QA engineer,,General QA,3.0,2.0,1400,125,Харків,до 1000 осіб,Аутсорсингова,чоловіча,29,Вища,ХАІ,False,Intermediate (середній),eCommerce,12/06/2017 14:50:01,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888 (Edition FCR)",3.0,2.0,1400,,QA,,,1400
621,Junior QA engineer,,Manual QA,1.0,1.0,422,100,Дніпро,більше 1000 осіб,Аутсорсингова,жіноча,29,Дві вищих,НметАУ,False,Intermediate (середній),"Desktop Applications,Веб-розробка",12/06/2017 14:50:25,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,1.0,422,,QA,,,422
622,Senior Software Engineer,C#/.NET,,6.0,,4500,1300,Київ,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,ОНУ ім. Мечникова,False,Upper-Intermediate (вище середнього),Телекомунікації,12/06/2017 14:50:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.0,4500,,DEV,,,4500
623,QA engineer,,Manual QA,4.0,3.0,1200,100,Дніпро,до 1000 осіб,Продуктова,чоловіча,27,Вища,ДНУ ім. Гончара,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 14:50:43,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,1200,,QA,,,1200
624,Software Engineer,JavaScript,,1.0,1.0,1150,650,Київ,до 50 осіб,Аутсорсингова,чоловіча,28,Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 14:50:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,1.0,1150,,DEV,,,1150
625,Senior Software Engineer,PHP,,4.0,1.5,1600,400,Львів,до 50 осіб,Аутстафінгова,чоловіча,25,Вища,Львівська Політехніка,False,Pre-intermediate (нище середнього),"Веб-розробка,eCommerce",12/06/2017 14:50:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,1.5,1600,,DEV,,,1600
626,Senior QA engineer,,Manual QA,3.0,0.5,1560,200,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,НГУ [Дніпро],False,Upper-Intermediate (вище середнього),"Веб-розробка,Фінанси та банкінг",12/06/2017 14:51:08,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1560,,QA,,,1560
627,Software Engineer,C#/.NET,,1.5,,925,600,Рівне,більше 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Інший ВНЗ,True,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 14:51:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,925,,DEV,,,925
628,Senior Software Engineer,PHP,,5.0,3.0,3000,0,Дніпро,до 1000 осіб,Продуктова,чоловіча,24,Вища,ВНУ ім. Даля,False,Advanced (просунутий),"Веб-розробка,Фінанси та банкінг",12/06/2017 14:51:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,3000,,DEV,,,3000
629,Junior Software Engineer,Scala,,1.0,1.0,700,400,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,25,Вища,НГУ [Дніпро],False,Intermediate (середній),Веб-розробка,12/06/2017 14:51:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,700,,DEV,,,700
630,Senior QA engineer,,Manual QA,5.0,5.0,1700,0,Дніпро,більше 1000 осіб,Аутсорсингова,жіноча,30,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 14:51:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,1700,,QA,,,1700
631,Research Engineer,,,1.0,0.25,200,0,Харків,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Корпоративні системи,12/06/2017 14:51:44,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.0,0.25,200,,,,,200
632,Junior QA engineer,,Manual QA,0.5,0.5,300,0,Дніпро,до 200 осіб,Продуктова,чоловіча,28,Вища,НметАУ,False,Intermediate (середній),"Android,Desktop Applications",12/06/2017 14:51:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,300,,QA,,,300
633,Senior Software Engineer,C#/.NET,,,4.0,3300,120,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,34,Вища,ХНЕУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Фінанси та банкінг",12/06/2017 14:51:46,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,4.0,3300,,DEV,,,3300
634,Software Engineer,C++,,5.0,0.5,3150,150,Одеса,до 50 осіб,Продуктова,чоловіча,27,Вища,ОНПУ,False,Intermediate (середній),"Embedded,Системне програмування",12/06/2017 14:52:06,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.5,3150,,DEV,,,3150
635,Software Engineer,C++,,1.5,0.5,1700,1300,Київ,до 1000 осіб,Продуктова,чоловіча,26,Дві вищих,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Інше,12/06/2017 14:52:06,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4A Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",1.5,0.5,1700,,DEV,,,1700
636,Senior Software Engineer,C#/.NET,,5.0,1.5,3400,300,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Корпоративні системи,12/06/2017 14:52:18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,3400,,DEV,,,3400
637,Software Engineer,JavaScript,,2.0,0.5,2000,1700,Віддалено,до 50 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),Веб-розробка,12/06/2017 14:52:18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,0.5,2000,,DEV,,,2000
638,Senior Software Engineer,Java,,,4.0,2000,500,Київ,до 10 осіб,Продуктова,чоловіча,31,Неповна Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),"Android,iOS",12/06/2017 14:52:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,4.0,2000,,DEV,,,2000
639,Junior Software Engineer,C#/.NET,,1.5,0.5,750,250,Київ,до 50 осіб,Продуктова,чоловіча,21,Вища,ГУТ,True,Intermediate (середній),"Веб-розробка,Корпоративні системи",12/06/2017 14:52:31,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,750,,DEV,,,750
640,Senior QA engineer,,Automation QA,6.0,,4500,300,Київ,до 200 осіб,Аутсорсингова,чоловіча,34,Вища,ЧГУ ім. Петра Могили,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 14:52:36,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",6.0,0.0,4500,,QA,,,4500
641,QA Tech Lead,,General QA,3.0,2.0,2200,600,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,28,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"iOS,Веб-розробка",12/06/2017 14:52:54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,2200,,QA,,,2200
642,Junior Software Engineer,Java,,,,600,0,Віддалено,до 10 осіб,Продуктова,чоловіча,24,Вища,КНЕУ,False,Upper-Intermediate (вище середнього),eCommerce,12/06/2017 14:53:17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36",0.0,0.0,600,,DEV,,,600
643,QA engineer,,Manual QA,1.0,1.0,750,450,Київ,до 10 осіб,Аутстафінгова,чоловіча,27,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,12/06/2017 14:53:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,,QA,,,750
644,Junior QA engineer,,Manual QA,1.0,1.0,430,170,Дніпро,до 200 осіб,Стартап,чоловіча,35,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Веб-розробка,12/06/2017 14:53:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.0,1.0,430,,QA,,,430
645,Junior QA engineer,,Automation QA,,,302,0,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Львівська Політехніка,True,Intermediate (середній),Веб-розробка,12/06/2017 14:53:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,302,,QA,,,302
646,Senior Software Engineer,PHP,,,2.0,3300,300,Львів,до 1000 осіб,Аутсорсингова,чоловіча,31,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 14:54:09,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,2.0,3300,,DEV,,,3300
647,QA engineer,,Automation QA,4.0,2.0,2000,300,Дніпро,до 50 осіб,Продуктова,жіноча,31,Вища,ХНУРЕ,False,Upper-Intermediate (вище середнього),"Android,iOS",12/06/2017 14:54:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",4.0,2.0,2000,,QA,,,2000
648,Senior Software Engineer,C++,,,0.5,5000,500,Одеса,до 50 осіб,Стартап,чоловіча,38,Вища,ОНПУ,False,Intermediate (середній),"Мультимедіа,Інше",12/06/2017 14:54:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,5000,,DEV,,,5000
649,Software Engineer,PHP,,2.0,0.5,1200,200,Одеса,більше 1000 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 14:54:27,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,0.5,1200,,DEV,,,1200
650,Software Engineer,Swift,,4.0,0.25,2050,400,Львів,до 1000 осіб,Аутсорсингова,чоловіча,29,Вища,КНУ ім. Шевченко,True,Intermediate (середній),iOS,12/06/2017 14:54:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.25,2050,,DEV,,,2050
651,Software Engineer,JavaScript,,1.0,1.0,800,500,Львів,до 50 осіб,Аутсорсингова,чоловіча,28,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 14:54:36,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",1.0,1.0,800,,DEV,,,800
